"state","state_Deaths","state_Births","state_Mortality_rate","state_HC01_VC03","state_HC01_VC04","state_HC01_VC05","state_HC01_VC07","state_HC01_VC09","state_HC03_VC12_unemp_pct","state_HC01_VC74","state_HC01_VC85_inc_med","state_HC01_VC86_inc_mean","state_HC01_VC103","state_HC01_VC118","state_HC01_VC130","state_HC01_VC131_hc","state_HC03_VC131_hc_pct","state_HC01_VC132_hc_priv","state_HC03_VC132_hc_priv_pct","state_HC01_VC133_hc_pub","state_HC03_VC133_hc_pub_pct","state_HC01_VC134_nohc","state_HC03_VC134_nohc_pct","state_HC01_VC161_bpl","state_HC03_VC161_bpl_pct","state_HC01_VC162_bpl_18","state_HC03_VC162_bpl_18_pct","state_HC01_VC163_bpl_5","state_HC03_VC163_bpl_5_pct"
"GA",1024,131404,7.79276125536513,7792052,4906258,4857206,468932,2885794,9.65435684630217,3574362,50689.8329727095,69010.5452732544,2423535,3269995,9812517,8132502,82.8788576875841,6187667,63.0589175030219,2875926,29.3087492230587,1680015,17.1211423124159,343438.647,14.170979457693,518000.647,21.3737638202048,501823.041,20.7062427817217
"HI",104,18420,5.64603691639522,1130491,736939,695572,42288,393552,6.07960067397768,450572,69819.3804697141,87328.929647204,313612,159463,1352350,1272129,94.0680297260325,1026384,75.8963286131549,430113,31.804858209783,80221,5.93197027396754,24240.861,7.72957061592031,36733.051,11.7128971467929,33283.924,10.6130900603293
"IA",167,39482,4.22977559394154,2447401,1656968,1655245,81735,790433,4.93793970076937,1236409,53639.9655000894,68445.6914702174,797481,2629031,3049107,2826406,92.6961894088991,2306715,75.6521499573482,954658,31.3094292853613,222701,7.30381059110094,64219.151,8.05274997147267,109833.05,13.772497401192,125541.028,15.7421967419913
"ID",107,22827,4.68743155035703,1232564,774526,771173,55312,458038,7.1724502802873,589320,48088.7054079278,62311.0100234168,406168,943849,1595824,1361030,85.2869740021456,1080922,67.7344118148367,477240,29.905553494621,234794,14.7130259978544,44168.398,10.8744160051998,68645.562,16.9007804652262,81977.565,20.1831668176715
"IL",948,158116,5.9955981684333,10201787,6712162,6694742,608516,3489625,9.08946155057208,4786388,58568.227628224,79555.8211998275,3124683,2599543,12694224,11295589,88.982115015459,8639304,68.0569682715541,3989360,31.4265763704816,1398635,11.017884984541,326847.191,10.4601711917657,525683.524,16.8235793518895,521290.073,16.6829746569492
"IN",613,84040,7.29414564493099,5160786,3300531,3297501,258739,1860255,7.8465177114427,2501937,49966.4193115174,64649.2958939414,1655043,2205890,6468964,5640622,87.1951366555758,4442345,68.6716605626496,1942040,30.0208812415713,828342,12.8048633444242,183960.179,11.1151298788007,305341.95,18.4491853081763,344497.559,20.8150216640897
"KS",233,39154,5.95086070388721,2247842,1507080,1489651,88454,740762,5.93790089087981,1113472,53947.7788440122,70093.2026975083,729468,2620070,2833872,2515753,88.7744047719869,2080953,73.4314393875235,775942,27.3809826273029,318119,11.2255952280131,66390.14,9.10117236122763,109167.792,14.9653983450953,123070.734,16.871299906233
"KY",375,55971,6.69989816154794,3493098,2080437,2065689,174308,1412661,8.43824990112258,1708499,44679.3450443928,60030.5745920835,1136718,2479633,4312238,3821976,88.6309150840005,2796136,64.8418756107617,1560016,36.1764819103213,490262,11.3690849159995,163423.845,14.3768150939811,259519.431,22.8305904366782,295003.921,25.9522520977058
"LA",489,64692,7.55889445371916,3634163,2208869,2194199,178150,1425294,8.11913595804209,1727919,45386.1102250742,63904.1518867493,1128232,1412135,4522122,3822370,84.5260256136389,2717728,60.0985112741319,1571226,34.7453253140893,699752,15.4739743863611,171309.291,15.1838709591644,263781.869,23.3801087896816,279907.509,24.8093928376433
"MA",308,71492,4.30817434118503,5479502,3700701,3696139,280164,1778801,7.57990973824307,2549721,69821.2254332925,94142.9140839331,1620917,497762,6627768,6391805,96.4397818390746,4937598,74.4986547507396,2268955,34.2340739748283,235963,3.56021816092537,132858.342,8.19649260264406,210984.423,13.0163619111898,202576.4,12.4976417669751
"MD",485,73616,6.58824168658987,4737405,3241222,3214531,238027,1496183,7.40471938208093,2166389,76786.9037038131,97800.8183516441,1450292,793757,5836734,5313662,91.0382758576971,4318257,73.9841322218899,1679957,28.7824834916239,523072,8.96172414230287,101079.793,6.96961667029812,156558.152,10.7949400534513,153281.931,10.5690392693333
